name,type,layer,togafDomain,description,status,riskLevel,maturityLevel
Architecture Team Resources,Phase 5: ArchiMate 3.2 & Self-Test,assignment,allocated to
Enterprise Architecture Management,Architecture Lifecycle Management,composition,defines
Enterprise Architecture Management,Digital Transformation Planning,composition,defines
3D Visualization & Navigation,Architecture Visualization Service,realization,realized by
AI-Powered Analytics,Risk Analysis Service,realization,realized by
AI-Powered Analytics,Generate Transformation Roadmap,realization,realized by
Governance & Compliance,Compliance Assessment Service,realization,realized by
Multi-Stakeholder Simulation,Stakeholder Simulation Service,realization,realized by
Multi-Stakeholder Simulation,Run MiroFish Simulation,realization,realized by
Template Marketplace,Import Architecture Data,serving,enables
Architecture Lifecycle Management,Import Architecture Data,flow,feeds into
Architecture Lifecycle Management,Execute Advisor Scan,flow,triggers
Digital Transformation Planning,Generate Transformation Roadmap,flow,triggers
Digital Transformation Planning,Run MiroFish Simulation,flow,triggers
Import Architecture Data,ArchitectureElement,access,creates
Import Architecture Data,Connection,access,creates
Import Architecture Data,Workspace,access,creates
Run MiroFish Simulation,SimulationRun,access,creates
Run MiroFish Simulation,CustomPersona,access,reads
Generate Transformation Roadmap,RoadmapWave,access,creates
Generate Transformation Roadmap,ArchitectureElement,access,reads
Execute Advisor Scan,AdvisorInsight,access,creates
Execute Advisor Scan,ArchitectureElement,access,reads
Export PDF Report,ArchitectureSnapshot,access,reads
Manage Users & Roles,User,access,manages
Manage Users & Roles,AuditLog,access,creates
Configure Project Settings,Project,access,manages
Architecture Visualization Service,TheArchitect Frontend,assignment,runs on
Stakeholder Simulation Service,TheArchitect Backend,assignment,runs on
Compliance Assessment Service,TheArchitect Backend,assignment,runs on
Risk Analysis Service,TheArchitect Backend,assignment,runs on
TheArchitect Frontend,REST API Gateway,serving,consumes
TheArchitect Frontend,SSE Streaming Service,serving,consumes
TheArchitect Frontend,WebSocket Real-time Service,serving,consumes
TheArchitect Backend,REST API Gateway,composition,exposes
TheArchitect Backend,SSE Streaming Service,composition,exposes
TheArchitect Backend,WebSocket Real-time Service,composition,exposes
MiroFish Engine,TheArchitect Backend,composition,part of
AI Architecture Advisor,TheArchitect Backend,composition,part of
Stochastic Engine,TheArchitect Backend,composition,part of
Roadmap Generator,TheArchitect Backend,composition,part of
BPMN Parser,TheArchitect Frontend,composition,part of
n8n Parser,TheArchitect Frontend,composition,part of
CSV Parser,TheArchitect Frontend,composition,part of
PDF Export Service,TheArchitect Backend,composition,part of
Auth Module,TheArchitect Backend,composition,part of
Architecture CRUD Service,TheArchitect Backend,composition,part of
Architecture CRUD Service,Neo4j Graph Database,serving,queries
Architecture CRUD Service,ArchitectureElement,access,persists
Auth Module,MongoDB Server,serving,queries
Auth Module,Redis Session Store,serving,manages sessions
Auth Module,User,access,authenticates
MiroFish Engine,SimulationRun,access,persists
AI Architecture Advisor,AdvisorInsight,access,persists
Stochastic Engine,ArchitectureElement,access,analyzes
Roadmap Generator,RoadmapWave,access,persists
PDF Export Service,MinIO Object Storage,serving,stores files
Linux Ubuntu 24.04,Hostinger VPS,assignment,runs on
Linux Ubuntu 24.04,Docker,assignment,hosts
Docker Image: TheArchitect,Docker,assignment,deployed via
Docker Image: Neo4j,Docker,assignment,deployed via
Internet / HTTPS,Caddy Reverse Proxy,serving,terminates at
Internal Docker Network,MongoDB Server,serving,connects
Internal Docker Network,Neo4j Graph Database,serving,connects
Internal Docker Network,Redis Session Store,serving,connects
TheArchitect Backend,Node.js v22,assignment,runs on
TheArchitect Frontend,Vite,assignment,built by
Docker,Hostinger VPS,assignment,deployed on
Turbo,GitHub Repository,assignment,orchestrates
MongoDB Server,Docker,assignment,containerized
Neo4j Graph Database,Docker,assignment,containerized
Redis Session Store,Docker,assignment,containerized
MinIO Object Storage,Docker,assignment,containerized
Caddy Reverse Proxy,Docker,assignment,containerized
Caddy Reverse Proxy,Hostinger VPS,assignment,deployed on
Current Platform State,Phase 1: Core Platform,aggregation,includes
Current Platform State,Phase 2: MiroFish Simulation,aggregation,includes
Current Platform State,Phase 3: AI Analytics Suite,aggregation,includes
Target Platform State,Phase 4: Governance & Marketplace,aggregation,includes
Target Platform State,Phase 5: ArchiMate 3.2 & Self-Test,aggregation,includes
Phase 1: Core Platform,TheArchitect Frontend,realization,delivers
Phase 1: Core Platform,TheArchitect Backend,realization,delivers
Phase 2: MiroFish Simulation,MiroFish Engine,realization,delivers
Phase 3: AI Analytics Suite,Stochastic Engine,realization,delivers
Phase 3: AI Analytics Suite,AI Architecture Advisor,realization,delivers
Phase 3: AI Analytics Suite,Roadmap Generator,realization,delivers
Phase 4: Governance & Marketplace,Compliance Assessment Service,realization,delivers
Phase 5: ArchiMate 3.2 & Self-Test,CSV Parser,realization,delivers
